set_smt_pri_al_flih  00157DE0
pr_flih64            00157EB8
ovlya_addr_pr_flih1  00157EC4
ovlya_addr_pr_flih2  00157EE8
alignhi              00157FAC
set_smt_pri_power_emul_ppc 0015808C
ovly_bridge_pr       001580AC
power_asm_emulate    001581A8
ovlya_addr_fix_al_fault 00158664
except_tid_trap_inst 00159780
simple_lock_hot_nop  002F2090
simple_unlock_hot_nop 002F20A4
vmx_patch_3          0036E300
si_dec_flih          0038E080
tmgr_safe_read_start 003BD900
tmgr_safe_read_error 003BD930
tmgr_safe_read_end   003BD930
evm_grt              003C98FC
evm_geq              003C9928
evm_les              003C9954
evm_leq              003C9980
evm_fjles            003C99B0
evm_fjleq            003C99EC
evm_fjgrt            003C9A28
evm_fjgeq            003C9A64
evm_stgb             003C9AA0
evm_incmb            003C9AC0
evm_decmb            003C9B84
evm_stlb             003C9C48
evm_sttb             003C9C68
evm_stab             003C9F24
evm_getthreadb       003C9FE0
evm_getprocb         003CA004
evm_getublockb       003CA02C
evm_getpvthreadb     003CA054
evm_getpvprocb       003CA07C
evm_ldcb             003CA0A8
evm_ldgb             003CA0C4
evm_ldlb             003CA0E8
evm_ldtb             003CA10C
evm_ixab             003CA3C8
evm_ldkb             003CA4DC
evm_stgs             003CA604
evm_incms            003CA624
evm_decms            003CA6E4
evm_stls             003CA7A4
evm_stts             003CA7C4
evm_stas             003CAA80
evm_getthreads       003CAB3C
evm_getprocs         003CAB5C
evm_getublocks       003CAB80
evm_getpvthreads     003CABA4
evm_getpvprocs       003CABC8
evm_ldcs             003CABF0
evm_ldgs             003CAC08
evm_ldls             003CAC28
evm_ldts             003CAC48
evm_ixas             003CAEF8
evm_ldks             003CB008
evm_stgw             003CB130
evm_incmw            003CB150
evm_decmw            003CB210
evm_stlw             003CB2D0
evm_sttw             003CB2F0
evm_staw             003CB5AC
evm_getthreadw       003CB668
evm_getprocw         003CB688
evm_getublockw       003CB6AC
evm_getpvthreadw     003CB6D0
evm_getpvprocw       003CB6F4
evm_ldcw             003CB71C
evm_ldgw             003CB734
evm_ldlw             003CB754
evm_ldtw             003CB774
evm_ixaw             003CBA24
evm_ldkw             003CBB34
evm_stgl             003CBC5C
evm_incml            003CBC7C
evm_decml            003CBD3C
evm_stll             003CBDFC
evm_sttl             003CBE1C
evm_stal             003CC0D8
evm_getthreadl       003CC194
evm_getprocl         003CC1B4
evm_getublockl       003CC1D8
evm_getpvthreadl     003CC1FC
evm_getpvprocl       003CC220
evm_ldcl             003CC248
evm_ldgl             003CC260
evm_ldll             003CC280
evm_ldtl             003CC2A0
evm_ixal             003CC550
evm_ldkl             003CC660
evm_grtu             003CC784
evm_gequ             003CC7B0
evm_lesu             003CC7DC
evm_lequ             003CC808
evm_fjlesu           003CC838
evm_fjlequ           003CC874
evm_fjgrtu           003CC8B0
evm_fjgequ           003CC8EC
evm_getthreadub      003CC928
evm_getprocub        003CC948
evm_getublockub      003CC96C
evm_getpvthreadub    003CC990
evm_getpvprocub      003CC9B4
evm_ldcub            003CC9DC
evm_ldgub            003CC9F4
evm_ldlub            003CCA14
evm_ldtub            003CCA34
evm_ixaub            003CCCE4
evm_ldkub            003CCDF4
evm_getthreadus      003CCF18
evm_getprocus        003CCF38
evm_getublockus      003CCF5C
evm_getpvthreadus    003CCF80
evm_getpvprocus      003CCFA4
evm_ldcus            003CCFCC
evm_ldgus            003CCFE4
evm_ldlus            003CD004
evm_ldtus            003CD024
evm_ixaus            003CD2D4
evm_ldkus            003CD3E4
evm_getthreaduw      003CD508
evm_getprocuw        003CD528
evm_getublockuw      003CD54C
evm_getpvthreaduw    003CD570
evm_getpvprocuw      003CD594
evm_ldcuw            003CD5BC
evm_ldguw            003CD5D4
evm_ldluw            003CD5F4
evm_ldtuw            003CD614
evm_ixauw            003CD8C4
evm_ldkuw            003CD9D4
evm_getthreadul      003CDAF8
evm_getprocul        003CDB18
evm_getublockul      003CDB3C
evm_getpvthreadul    003CDB60
evm_getpvprocul      003CDB84
evm_ldcul            003CDBAC
evm_ldgul            003CDBC4
evm_ldlul            003CDBE4
evm_ldtul            003CDC04
evm_ixaul            003CDEB4
evm_ldkul            003CDFC4
evm_getustr          003CE0E8
evm_cpyudata         003CE678
evm_getkstr          003CEFDC
evm_cpykdata         003CF4FC
evm_ldjstr           003CFDA0
evm_abs              003CFEA4
evm_add              003CFEC8
evm_sub              003CFEE8
evm_and              003CFF08
evm_com              003CFF28
evm_equ              003CFF44
evm_neq              003CFF70
evm_exp              003CFF9C
evm_or               003CFFD0
evm_xor              003CFFF0
evm_rnot             003D0010
evm_rand             003D0030
evm_ror              003D0074
evm_sla              003D00BC
evm_sra              003D00DC
evm_sll              003D00FC
evm_srl              003D011C
evm_mod              003D013C
evm_div              003D0164
errchk_evm_div       003D0164
evm_mpy              003D026C
evm_inc              003D028C
evm_dec              003D02AC
evm_lda              003D02CC
evm_ldga             003D02E4
evm_ldla             003D0304
evm_adda             003D0324
evm_suba             003D0344
evm_fjp              003D0364
evm_fjz              003D0378
evm_fjnz             003D03AC
evm_fjequ            003D03E0
evm_fjneq            003D041C
evm_eoc              003D0458
evm_eop              003D0464
evm_getr3            003D047C
evm_getr4            003D0490
evm_getr5            003D04A4
evm_getr6            003D04B8
evm_getr7            003D04CC
evm_getr8            003D04E0
evm_getr9            003D04F4
evm_getr10           003D0508
evm_getfpr1          003D051C
evm_getfpr2          003D057C
evm_getfpr3          003D05DC
evm_getfpr4          003D063C
evm_getfpr5          003D069C
evm_getfpr6          003D06FC
evm_getfpr7          003D075C
evm_getfpr8          003D07BC
evm_getfpr9          003D081C
evm_getfpr10         003D087C
evm_getfpr11         003D08DC
evm_getfpr12         003D093C
evm_getfpr13         003D099C
evm_getfprs1         003D09FC
evm_getfprs2         003D0A60
evm_getfprs3         003D0AC4
evm_getfprs4         003D0B28
evm_getfprs5         003D0B8C
evm_getfprs6         003D0BF0
evm_getfprs7         003D0C54
evm_getfprs8         003D0CB8
evm_getfprs9         003D0D1C
evm_getfprs10        003D0D80
evm_getfprs11        003D0DE4
evm_getfprs12        003D0E48
evm_getfprs13        003D0EAC
evm_getstkparml      003D0F10
evm_getstkparm       003D0FB4
evm_gettmstmp        003D1058
evm_getdfftme        003D1070
evm_gett             003D1120
evm_getp             003D1138
evm_getpp            003D1154
evm_getpgid          003D1174
evm_getu             003D1194
evm_geteu            003D11B4
evm_getegid          003D1210
evm_curt             003D126C
evm_curp             003D1278
evm_ublk             003D1284
evm_getcpuid         003D1290
evm_procpri          003D137C
evm_proccpu          003D13A0
evm_getnice          003D13C8
evm_resourcecur      003D14B4
evm_time             003D15A8
evm_mst              003D16A0
evm_mst_getr1        003D16AC
evm_mst_getr2        003D16D0
evm_mst_getr3        003D16F4
evm_mst_getr4        003D1718
evm_mst_getr5        003D173C
evm_mst_getr6        003D1760
evm_mst_getr7        003D1784
evm_mst_getr8        003D17A8
evm_mst_getr9        003D17CC
evm_mst_getr10       003D17F0
evm_mst_getr15       003D1814
evm_mst_getr16       003D1838
evm_mst_getr17       003D185C
evm_mst_getr18       003D1880
evm_mst_getr19       003D18A4
evm_mst_getr20       003D18C8
evm_mst_getreg       003D192C
evm_mst_getiar       003D1964
evm_mst_getlr        003D1994
evm_gettrcid         003D1AA0
evm_geterrno         003D1AB8
evm_getkmode         003D1AD4
evm_stktrace         003D1AF4
evm_getfunc          003D207C
evm_ldta             003D222C
evm_listadd          003D24DC
evm_atomic_listadd   003D2588
evm_listavg          003D266C
evm_listsum          003D2720
evm_listcount        003D277C
evm_listmin          003D27D8
evm_listmax          003D285C
evm_listcp           003D28E0
evm_listclr          003D29E4
evm_listjoin         003D2A70
evm_cpedata          003D2BD8
evm_staubf           003D2D5C
evm_ixaubf           003D2E8C
evm_boundchk         003D2FB0
evm_strlen           003D2FDC
evm_strcmp           003D3180
evm_strcpy           003D34A0
evm_strcat           003D3784
evm_getprobe         003D3B58
evm_execname         003D3D18
evm_atoi             003D3DB0
evm_eoe              003D3F80
evm_strstr           003D3F98
evm_exit             003D4350
evm_aso_exception    003D4430
evm_assocprint       003D4530
evm_lquantize        003D4628
evm_quantize         003D4720
evm_assocclear       003D4818
evm_assocstore       003D4910
evm_assocget         003D4A18
evm_associncmw       003D4B28
evm_assocdecmw       003D4C3C
evm_assocdel         003D4D50
evm_assocexists      003D4E54
evm_pop              003D4F58
evm_dup              003D4F78
evm_neg              003D4F90
evm_trchkl0          003D4FAC
evm_trchkl1          003D4FCC
evm_trchkl2          003D4FF8
evm_trchkl3          003D5028
evm_trchkl4          003D505C
evm_trchkl5          003D5094
evm_trcgenk          003D50D0
evm_trcoff           003D50FC
evm_mtrcsuspend      003D5118
evm_mtrcresume       003D5128
evm_ctsuspend        003D5138
evm_ctresume         003D5148
evm_ldmp_setupparms  003D5484
evm_ldmp_freeparms   003D54F0
evm_dmp_compspec     003D5548
